"id", "nombre"
"331","Sentey Optimus"
"378","Señorial"
"206","Sewell"
"361","Shark"
"255","Shure"
"292","SIM"
"410","SKIVA"
"56","SkullCandy"
"345","SM"
"440","Smartbitt"
"102","Snugg"
"89","Sonex"
"45","Sony"
"448","Soyntec"
"289","Specops"
"435","Spigen"
"459","SRT"
"389","Status"
"276","Steren "
"341","STK"
"184","Super Talent"
"421","Survivor"
"368","Swann"
"237","Swiss"
"179","Syma"
"99","Targus"
"107","TD-Link"
"189","Tech Armor"
"212","Tech Orbit"
"267","Techorbit"
"372","Terrapin"
"424","TGA"
"121","Thermaltake"
"188","Titan"
"315","Top Sonic"
"379","Tortrix"
"87","Toshiba"
"441","Tough Armor"
"108","TP-Link"
"175","Transcend"
"279","Traveler"
"147","Trendnet"
"130","Trident"
"138","Tripp-Lite"
"328","TRUPER"
"444","Type L"
"458","U.S. Polo Assn"
"400","Ubiquiti"
"457","Ulak"
"455","Ulefone"
"452","Unitech"
"105","Universal"
"145","Vantec"
"199","Varios"
"430","Venetto"
"164","Verbatim"
"220","Verizon"
"159","View Book"
"294","Viewsonic"
"425","Viewtv"
"126","Wester Digital"
"196","Wii U"
"349","Workout"
"275","World Inkjet"
"296","World Refil"
"268","Writeright"
"404","WWE Rumblers"
"222","XBEX"
"124","XFX"
"119","Xtech"
"353","Xtreme"
"323","Yesoo"
"381","Yummies"
"217","Zelda"
"308","Zizo"
"211","Zocat"
"166","Zumax"
